iter	Passed	Remaining
302	614	1414
303	616	1412
304	618	1409
305	620	1407
306	622	1405
307	624	1403
308	626	1401
309	628	1398
310	630	1396
311	632	1393
312	633	1391
313	636	1389
314	638	1387
315	640	1385
316	642	1383
317	644	1381
318	646	1379
319	648	1377
320	650	1375
321	652	1372
322	653	1370
323	655	1368
324	657	1365
325	659	1363
326	661	1361
327	663	1359
328	665	1357
329	667	1355
330	669	1353
331	671	1351
332	673	1348
333	675	1346
334	677	1344
335	678	1341
336	680	1339
337	682	1336
338	684	1334
339	686	1332
340	688	1330
341	690	1328
342	692	1325
343	694	1323
344	695	1321
345	697	1318
346	699	1316
347	701	1314
348	703	1312
349	705	1310
350	707	1307
351	709	1305
352	711	1303
353	713	1301
354	714	1299
355	716	1296
356	718	1294
357	720	1292
358	722	1290
359	724	1288
360	726	1285
361	728	1283
362	730	1281
363	731	1278
364	733	1276
365	736	1274
366	738	1272
367	740	1271
368	742	1269
369	744	1267
370	746	1264
371	748	1262
372	749	1260
373	751	1258
374	753	1256
375	755	1254
376	757	1251
377	759	1249
378	761	1247
379	763	1244
380	765	1242
381	766	1240
382	769	1238
383	771	1236
384	772	1234
385	774	1232
386	776	1230
387	778	1228
388	780	1226
389	782	1224
390	784	1221
391	786	1219
392	788	1217
393	790	1215
394	791	1212
395	793	1210
396	795	1208
397	797	1206
398	799	1203
399	801	1201
400	802	1199
401	804	1196
402	806	1194
403	808	1192
404	810	1190
405	812	1188
406	814	1186
407	816	1184
408	818	1182
409	820	1180
410	821	1177
411	823	1175
412	825	1173
413	827	1171
414	830	1170
415	832	1168
416	834	1166
417	836	1164
418	838	1162
419	839	1159
420	841	1157
421	843	1155
422	845	1153
423	847	1151
424	849	1148
425	850	1146
426	852	1144
427	854	1142
428	856	1140
429	858	1138
430	860	1135
431	862	1134
432	864	1132
433	866	1129
434	868	1127
435	870	1125
436	872	1123
437	873	1121
438	875	1119
439	877	1117
440	879	1114
441	881	1112
442	883	1110
443	885	1108
444	887	1106
445	889	1104
446	891	1102
447	892	1100
448	894	1098
449	896	1095
450	898	1093
451	900	1091
452	902	1089
453	904	1087
454	906	1085
455	908	1083
456	910	1081
457	911	1079
458	913	1076
459	915	1074
460	917	1072
461	919	1070
462	921	1068
463	923	1067
464	925	1065
465	927	1062
466	929	1060
467	931	1058
468	933	1056
469	935	1054
470	937	1052
471	939	1050
472	940	1048
473	942	1046
474	944	1044
475	946	1042
476	948	1040
477	950	1038
478	952	1036
479	954	1034
480	956	1032
481	958	1030
482	960	1028
483	962	1026
484	964	1024
485	966	1022
486	968	1019
487	970	1017
488	971	1015
489	973	1013
490	975	1011
491	977	1009
492	979	1007
493	981	1005
494	983	1002
495	984	1000
496	986	998
497	988	996
498	990	994
499	992	992
500	994	990
501	996	988
502	998	986
503	999	984
504	1001	981
505	1003	979
506	1005	977
507	1007	975
508	1009	973
509	1011	971
510	1012	969
511	1014	967
512	1016	964
513	1018	962
514	1020	960
515	1021	958
516	1023	956
517	1025	954
518	1027	952
519	1029	950
520	1031	948
521	1032	945
522	1034	943
523	1036	941
524	1038	939
525	1040	937
526	1042	935
527	1044	933
528	1046	931
529	1048	929
530	1050	927
531	1052	925
532	1054	923
533	1055	921
534	1057	919
535	1059	917
536	1061	915
537	1063	913
538	1065	911
539	1067	908
540	1069	907
541	1071	905
542	1073	903
543	1076	902
544	1078	900
545	1080	898
546	1082	896
547	1084	894
548	1086	892
549	1088	890
550	1090	888
551	1092	886
552	1094	884
553	1096	882
554	1098	880
555	1100	878
556	1102	877
557	1104	875
558	1106	873
559	1109	871
560	1110	869
561	1112	867
562	1114	865
563	1116	863
564	1118	861
565	1120	859
566	1122	857
567	1124	855
568	1126	853
569	1128	850
570	1130	849
571	1132	847
572	1134	845
573	1136	843
574	1138	841
575	1139	839
576	1141	837
577	1143	835
578	1145	833
579	1148	831
580	1150	829
581	1152	827
582	1154	825
583	1156	823
584	1158	821
585	1160	819
586	1162	817
587	1164	815
588	1166	813
589	1168	811
590	1170	809
591	1172	807
592	1174	806
593	1176	804
594	1178	802
595	1180	800
596	1182	798
597	1184	796
598	1186	794
599	1187	791
600	1189	789
601	1191	787
602	1193	785
603	1195	783
604	1197	781
605	1199	779
606	1200	777
607	1202	775
608	1204	773
609	1206	771
610	1208	769
611	1210	767
612	1212	765
613	1214	763
614	1217	761
615	1219	760
616	1221	758
617	1223	756
618	1225	754
619	1227	752
620	1228	749
621	1230	747
622	1232	746
623	1234	743
624	1236	741
625	1238	739
626	1240	737
627	1242	735
628	1243	733
629	1245	731
630	1248	729
631	1250	727
632	1252	725
633	1254	723
634	1256	722
635	1257	719
636	1259	717
637	1261	715
638	1263	713
639	1265	711
640	1267	709
641	1268	707
642	1270	705
643	1272	703
644	1274	701
645	1276	699
646	1278	697
647	1280	695
648	1282	693
649	1284	691
650	1286	689
651	1288	687
652	1289	685
653	1291	683
654	1293	681
655	1295	679
656	1297	677
657	1299	675
658	1301	673
659	1302	671
660	1304	669
661	1306	667
662	1308	665
663	1310	663
664	1312	661
665	1314	659
666	1316	657
667	1318	655
668	1320	653
669	1322	651
670	1324	649
671	1326	647
672	1327	645
673	1329	643
674	1331	641
675	1333	639
676	1335	637
677	1337	635
678	1339	633
679	1341	631
680	1343	629
681	1345	627
682	1347	625
683	1349	623
684	1351	621
685	1353	619
686	1355	617
687	1356	615
688	1358	613
689	1360	611
690	1362	609
691	1364	607
692	1366	605
693	1368	603
694	1370	601
695	1372	599
696	1374	597
697	1376	595
698	1378	593
699	1380	591
700	1382	589
701	1384	587
702	1386	585
703	1388	583
704	1390	581
705	1391	579
706	1393	577
707	1395	575
708	1397	573
709	1399	571
710	1401	569
711	1403	567
712	1405	565
713	1407	563
714	1409	561
715	1411	559
716	1413	557
717	1415	555
718	1417	553
719	1419	551
720	1421	549
721	1423	547
722	1425	545
723	1427	544
724	1429	542
725	1431	540
726	1433	538
727	1435	536
728	1436	534
729	1438	532
730	1440	530
731	1442	528
732	1445	526
733	1447	524
734	1449	522
735	1451	520
736	1453	518
737	1455	516
738	1457	514
739	1459	512
740	1461	510
741	1462	508
742	1464	506
743	1466	504
744	1468	502
745	1470	500
746	1472	498
747	1474	496
748	1476	494
749	1478	492
750	1480	491
751	1482	489
752	1484	487
753	1486	485
754	1488	483
755	1490	481
756	1492	479
757	1494	477
758	1495	475
759	1497	473
760	1499	471
761	1502	469
762	1504	467
763	1506	465
764	1508	463
765	1510	461
766	1511	459
767	1513	457
768	1515	455
769	1517	453
770	1519	451
771	1521	449
772	1523	447
773	1525	445
774	1527	443
775	1528	441
776	1530	439
777	1532	437
778	1534	435
779	1536	433
780	1538	431
781	1540	429
782	1541	427
783	1543	425
784	1545	423
785	1548	421
786	1550	419
787	1552	417
788	1554	415
789	1556	413
790	1558	411
791	1560	409
792	1562	407
793	1563	405
794	1565	403
795	1567	401
796	1569	399
797	1571	397
798	1573	395
799	1575	393
800	1577	391
801	1579	390
802	1581	388
803	1583	386
804	1585	384
805	1587	382
806	1589	380
807	1591	378
808	1593	376
809	1595	374
810	1597	372
811	1599	370
812	1601	368
813	1602	366
814	1604	364
815	1606	362
816	1609	360
817	1611	358
818	1613	356
819	1615	354
820	1617	352
821	1619	350
822	1621	348
823	1623	346
824	1625	344
825	1626	342
826	1628	340
827	1630	338
828	1632	336
829	1634	334
830	1636	332
831	1638	330
832	1640	328
833	1641	326
834	1643	324
835	1645	322
836	1647	320
837	1649	318
838	1651	316
839	1653	314
840	1655	312
841	1657	310
842	1659	308
843	1661	307
844	1663	305
845	1665	303
846	1667	301
847	1669	299
848	1671	297
849	1672	295
850	1674	293
851	1676	291
852	1678	289
853	1680	287
854	1682	285
855	1684	283
856	1686	281
857	1688	279
858	1690	277
859	1692	275
860	1694	273
861	1696	271
862	1698	269
863	1699	267
864	1701	265
865	1703	263
866	1705	261
867	1707	259
868	1709	257
869	1711	255
870	1713	253
871	1715	251
872	1717	249
873	1719	247
874	1721	245
875	1723	243
876	1725	241
877	1727	239
878	1729	238
879	1730	236
880	1732	234
881	1734	232
882	1736	230
883	1738	228
884	1740	226
885	1742	224
886	1743	222
887	1745	220
888	1747	218
889	1749	216
890	1751	214
891	1753	212
892	1755	210
893	1757	208
894	1759	206
895	1761	204
896	1763	202
897	1765	200
898	1767	198
899	1769	196
900	1770	194
901	1772	192
902	1774	190
903	1776	188
904	1778	186
905	1780	184
906	1782	182
907	1784	180
908	1786	178
909	1788	176
910	1790	174
911	1792	172
912	1794	170
913	1795	168
914	1797	167
915	1799	165
916	1801	163
917	1803	161
918	1805	159
919	1807	157
920	1809	155
921	1810	153
922	1812	151
923	1814	149
924	1816	147
925	1818	145
926	1820	143
927	1822	141
928	1824	139
929	1826	137
930	1828	135
931	1830	133
932	1832	131
933	1834	129
934	1836	127
935	1837	125
936	1839	123
937	1841	121
938	1843	119
939	1845	117
940	1847	115
941	1849	113
942	1850	111
943	1852	109
944	1854	107
945	1856	105
946	1858	104
947	1860	102
948	1863	100
949	1865	98
950	1867	96
951	1869	94
952	1870	92
953	1872	90
954	1874	88
955	1876	86
956	1878	84
957	1880	82
958	1882	80
959	1884	78
960	1885	76
961	1887	74
962	1889	72
963	1891	70
964	1893	68
965	1895	66
966	1897	64
967	1899	62
968	1901	60
969	1903	58
970	1905	56
971	1907	54
972	1909	52
973	1910	51
974	1912	49
975	1914	47
976	1916	45
977	1918	43
978	1920	41
979	1922	39
980	1924	37
981	1926	35
982	1928	33
983	1930	31
984	1931	29
985	1933	27
986	1935	25
987	1937	23
988	1939	21
989	1941	19
990	1943	17
991	1944	15
992	1946	13
993	1948	11
994	1950	9
995	1952	7
996	1954	5
997	1956	3
998	1958	1
999	1959	0
