iter	Logloss
0	0.6616133453
1	0.6287133616
2	0.596844569
3	0.5666694371
4	0.5423960584
5	0.5201707339
6	0.4974413283
7	0.4758950957
8	0.4554123033
9	0.4300776056
10	0.4114001984
11	0.3926636608
12	0.376360175
13	0.3556214678
14	0.341027897
15	0.3242169969
16	0.3091283271
17	0.2945522011
18	0.2810239751
19	0.2742881396
20	0.2638950862
21	0.2529103381
22	0.2437724661
23	0.2346016742
24	0.2263230344
25	0.2178931054
26	0.2084253189
27	0.2006175805
28	0.1934544773
29	0.1855993393
30	0.1794010568
31	0.1740107976
32	0.1668637215
33	0.1618910769
34	0.1566334718
35	0.1522997268
36	0.1479811648
37	0.1439407024
38	0.140741746
39	0.1365352982
40	0.1318929469
41	0.1274109644
42	0.1236642391
43	0.1204645576
44	0.117515867
45	0.1144932091
46	0.1115225718
47	0.1084932368
48	0.1053563328
49	0.1029093208
50	0.1007166869
51	0.09808011968
52	0.095285835
53	0.09382510354
54	0.09224589463
55	0.08976208301
56	0.08738514785
57	0.08524454536
58	0.08367295502
59	0.08243428224
60	0.08095085198
61	0.07951352816
62	0.07831106524
63	0.07670879499
64	0.07512943457
65	0.07381498188
66	0.07273666706
67	0.07094884561
68	0.06927266222
69	0.0683787028
70	0.06680770766
71	0.06607398716
72	0.06516628942
73	0.06446689038
74	0.06345226207
75	0.06256283699
76	0.06186672779
77	0.0612855519
78	0.06061597784
79	0.06002106903
80	0.05963647721
81	0.05889344452
82	0.05841044974
83	0.0577380133
84	0.05707166415
85	0.05615359908
86	0.05525191287
87	0.05446244909
88	0.05366644893
89	0.05266564552
90	0.05194780066
91	0.05143670156
92	0.05080193594
93	0.04987469937
94	0.04922269997
95	0.04856545739
96	0.04802819651
97	0.04752245423
98	0.04714135785
99	0.04667534794
100	0.04618455603
101	0.04589261535
102	0.04562781043
103	0.04537746889
104	0.04494065089
105	0.04457805174
106	0.04426604197
107	0.04371963934
108	0.04337371934
109	0.04303402191
110	0.04243817972
111	0.04209679137
